DevGroup,Module,PrjPath,AssemblyName,BuildStage,IsNeedBuild
SCF,GSF,Src\GSF\Caching\Caching.csproj,Inspur.GSP.Gsf.Caching,10Framework,True
SCF,GSF,Src\GSF\Common\Common.csproj,Inspur.GSP.Gsf.Common,10Framework,True
SCF,GSF,Src\GSF\Configuration\Configuration\Configuration.csproj,Inspur.GSP.Gsf.Configuration,10Framework,True
SCF,GSF,Src\GSF\Controls\Gsf.Controls.ActiveXControls\ActiveXControls.csproj,Inspur.GSP.Gsf.Controls.ActiveXControl,10Framework,True
SCF,GSF,Src\GSF\Controls\Gsf.Controls.HtmlEditor\HtmlEditorControl.csproj,Inspur.GSP.Gsf.Controls.HTMLEditorControl,10Framework,True
SCF,GSF,Src\GSF\Controls\Gsf.Controls.SyntaxData\SyntaxData.csproj,Inspur.GSP.Gsf.Controls.SyntaxData,10Framework,True
SCF,GSF,Src\GSF\Controls\Gsf.Controls.SyntaxRichEdit\SyntaxRichEdit.csproj,Inspur.GSP.Gsf.Controls.SyntaxRichEdit,10Framework,True
SCF,GSF,Src\GSF\Controls\Gsf.Controls.WinForms\Genersoft.Platform.Controls.WinForms.csproj,Inspur.GSP.Gsf.Controls.WinForms,10Framework,True
SCF,GSF,Src\GSF\DataAccess\DataAccess.csproj,Inspur.GSP.Gsf.DataAccess,10Framework,True
SCF,GSF,Src\GSF\Event\Event.csproj,Inspur.GSP.Gsf.Event,10Framework,True
SCF,GSF,Src\GSF\Exception\Old\Exception\Exception.csproj,Inspur.GSP.Gsf.Exception,10Framework,True
SCF,GSF,Src\GSF\Logging\Logging\Logging.csproj,Inspur.GSP.Gsf.Logging,10Framework,True
SCF,GSF,Src\GSF\Serialization\protobuf\protobuf-net.csproj,Inspur.GSP.Gsf.Protobuf,10Framework,True
SCF,GSF,Src\GSF\ServiceManager\Autofac.Configuration\Autofac.Configuration.csproj,Inspur.GSP.Gsf.Autofac.Configuration,10Framework,True
SCF,GSF,Src\GSF\ServiceManager\Autofac\Autofac.csproj,Inspur.GSP.Gsf.Autofac,10Framework,True
SCF,GSF,Src\GSF\ServiceManager\ServiceManager\ServiceMgr.csproj,Inspur.GSP.Gsf.ServiceMgr,10Framework,True
SCF,GSF,Src\GSF\Session\GspSession\GSPSession.csproj,Inspur.GSP.Gsf.Session,10Framework,True
SCF,GSF,Src\GSF\Transactions\Transaction\Transaction.csproj,Inspur.GSP.Gsf.Transactions,10Framework,True
SCF,GSF,Src\GSF\TypeSelection\TypeSelection.csproj,Inspur.GSP.Gsf.TypeSelection,10Framework,True
SCF,GSF,Src\GSF\Unity\ServiceLocation\ServiceLocation.csproj,Inspur.GSP.Gsf.ServiceLocation,10Framework,True
SCF,GSF,Src\GSF\Unity\Unity.Configuration\Unity.Configuration.2010.csproj,Inspur.GSP.Gsf.Unity.Configuration,10Framework,True
SCF,GSF,Src\GSF\Unity\Unity.Interception.Configuration\Unity.Interception.Configuration.2010.csproj,Inspur.GSP.Gsf.Unity.Interception.Configuration,10Framework,True
SCF,GSF,Src\GSF\Unity\Unity.Interception\Unity.Interception.2010.csproj,Inspur.GSP.Gsf.Unity.Interception,10Framework,True
SCF,GSF,Src\GSF\Unity\Unity\Unity.2010.csproj,Inspur.GSP.Gsf.Unity,10Framework,True
SCF,GSF,Src\GSF\Xml\Xml.csproj,Inspur.GSP.Gsf.Xml,10Framework,True
ADP,BEF,Src\BEF\Api\Bef.Api.csproj,Inspur.GSP.Bef.Api,20Interface,True
ADP,BEF,Src\BEF\BizEntity\BizEntity.csproj,Inspur.GSP.Bef.BizEntity,20Interface,True
ADP,BEF,Src\BEF\DTSpi\Bef.DTSpi.csproj,Inspur.GSP.Bef.DTSpi,20Interface,True
ADP,BEF,Src\BEF\Spi\Bef.Spi.csproj,Inspur.GSP.Bef.Spi,20Interface,True
ADP,CDP,Src\CDP\BizComponent\Api\BizComponentApi.csproj,Inspur.GSP.Cdp.BizComponent.Api,20Interface,True
ADP,CDP,Src\CDP\BizComponent\EngineApi\BizComponentEngineApi.csproj,Inspur.GSP.Cdp.BizComponent.EngineApi,20Interface,True
ADP,CDP,Src\CDP\BizComponent\Resource\BizComponentResource.csproj,Inspur.GSP.Cdp.BizComponent.Resource,20Interface,True
ADP,CDP,Src\CDP\Definition\Metadata\ComponentApi.csproj,Inspur.GSP.Cdp.Definition.Api,20Interface,True
ADP,CDP,Src\CDP\Definition\Spi\ComponentDefinitionSpi.csproj,Inspur.GSP.Cdp.Definition.Spi,20Interface,True
ADP,CDP,Src\CDP\Engine\Api\EngineApi.csproj,Inspur.GSP.Cdp.Engine.Api,20Interface,True
ADP,DAS,Src\DAS\CommonDataType\Metadata\CommonDataType.csproj,Inspur.GSP.Das.CommonDataType,20Interface,True
ADP,DAS,Src\DAS\CommonModel\Metadata\CommonModel.csproj,Inspur.GSP.Das.CommonModel,20Interface,True
ADP,DAS,Src\DAS\Dae\Api\DaeApi.csproj,Inspur.GSP.Das.Dae.Api,20Interface,True
ADP,DAS,Src\DAS\Dae\QueryPolicy\DaeQueryPolicy.csproj,Inspur.GSP.Das.Dae.QueryPolicy,20Interface,True
ADP,DAS,Src\DAS\Dae\Resource\DaeResource.csproj,Inspur.GSP.Das.Dae.Resource,20Interface,True
ADP,DAS,Src\DAS\Dae\Spi\DaeSpi.csproj,Inspur.GSP.Das.Dae.Spi,20Interface,True
ADP,DAS,Src\DAS\DataModel\Api\DataModelApi.csproj,Inspur.GSP.Das.DataModel.Api,20Interface,True
ADP,DAS,Src\DAS\DataModel\Spi\DataModelSpi.csproj,Inspur.GSP.Das.DataModel.Spi,20Interface,True
ADP,DAS,Src\DAS\DataObject\Api\DataObjectApi.csproj,Inspur.GSP.Das.DataObject.Api,20Interface,True
ADP,DAS,Src\DAS\DataObject\Spi\DataObjectSpi.csproj,Inspur.GSP.Das.DataObject.Spi,20Interface,True
DIP,DIP,Src\DIP\Common\DipApi\DipApi.csproj,Inspur.GSP.Dip.Api,20Interface,True
DIP,DIP,Src\DIP\DataImportExport\DesignerApi\DesignApi.csproj,Inspur.GSP.Dip.IED.Design.Api,20Interface,True
DIP,DIP,Src\DIP\DataImportExport\EngineApi\EngineApi.csproj,Inspur.GSP.Dip.IED.Engine.Api,20Interface,True
DIP,DIP,Src\DIP\DipAdmin\DIPackageManagement\PkgMgrApi\PkgMgrApi.csproj,Inspur.Gsp.Dip.PkgMgr.Api,20Interface,True
DIP,DIP,Src\DIP\DipCore\Components\ChangeDataCapture\ChangeDataCaptureApi\IncrementApi.csproj,Inspur.GSP.Dip.Cdc.Api,20Interface,True
DIP,DIP,Src\DIP\DipCore\Components\Extraction\ExtractionApi\ExtractionApi.csproj,Inspur.GSP.Dip.Extraction.Api,20Interface,True
DIP,DIP,Src\DIP\DipCore\Components\Load\LoadApi\LoadApi.csproj,Inspur.GSP.Dip.Load.Api,20Interface,True
DIP,DIP,Src\DIP\DipCore\Components\Mapping\MappingDesignerApi\MappingDesignerApi.csproj,Inspur.GSP.Dip.Mapping.Designer.Api,20Interface,True
DIP,DIP,Src\DIP\DipCore\Components\Mapping\MappingEngineApi\MappingEngineApi.csproj,Inspur.GSP.Dip.Mapping.Engine.Api,20Interface,True
DIP,DIP,Src\DIP\DipCore\Components\Validation\ValidationApi\ValidationApi.csproj,Inspur.GSP.Dip.Validation.Api,20Interface,True
DIP,DIP,Src\DIP\DipCore\Components\ValueMapping\ValueMappingApi\ValueMappingApi.csproj,Inspur.GSP.Dip.ValueMapping.Api,20Interface,True
DIP,DIP,Src\DIP\DipCore\Designer\DesignerApi\DesignerApi.csproj,Inspur.GSP.Dip.Designer.Api,20Interface,True
DIP,DIP,Src\DIP\DipCore\Engine\EngineApi\EngineApi.csproj,Inspur.GSP.Dip.Engine.Api,20Interface,True
ADP,Form,Src\Form\Customize\Api\CustomizeApi.csproj,Inspur.GSP.Customize.Api,20Interface,True
ADP,Form,Src\Form\FormServer\Spi\FormServer.Spi.csproj,Inspur.GSP.FormServer.Spi,20Interface,True
ADP,Form,Src\Form\FormServer\ViewModel\ViewModel.csproj,Inspur.GSP.FormServer.ViewModel,20Interface,True
ADP,Form,Src\Form\Help\Api\HelpApi.csproj,Inspur.GSP.Forms.Help.Api,20Interface,True
ADP,Form,Src\Form\StateMachine\Metadata\StateMachine.csproj,Inspur.GSP.Forms.StateMachine,20Interface,True
ADP,Form,Src\Form\Win\Controller\Api\FormControllerApi.csproj,Inspur.GSP.Forms.Win.Controller.Api,20Interface,True
ADP,Form,Src\Form\Win\Controller\Common\FormControllerCommon.csproj,Inspur.GSP.Forms.Win.Controller.Common,30Component,True
ADP,Form,Src\Form\Win\Definition\FormDefinition\FormDefinition.csproj,Inspur.GSP.Forms.Win.Definition,20Interface,True
ADP,Form,Src\Form\Win\Engine\Api\FormEngineApi.csproj,Inspur.GSP.Forms.Win.Engine.Api,20Interface,True
ADP,Form,Src\Form\Win\Engine\Booster\FormEngineBooster.csproj,Inspur.GSP.Forms.Win.Engine.Booster,30Component,True
ADP,Form,Src\Form\Win\Engine\Spi\FormEngineSpi.csproj,Inspur.GSP.Forms.Win.Engine.Spi,20Interface,True
ADP,Form,Src\Form\Win\Engine\StyleSolutionDefinition\StyleSolutionDefinition.csproj,Inspur.GSP.Forms.Win.Engine.StyleSolutionDefinition,20Interface,True
SCF,GSF,Src\GSF\I18N\Framwork\Api\Framework.Api.csproj,Inspur.GSP.Gsf.I18N.Framework.Api,20Interface,True
